TRADE_CODE,ISIN,EMITENT_FULL_NAME,ISSUE_AMOUNT,LIST_SECTION,INSTRUMENT_TYPE,INSTRUMENT_CATEGORY
YRSBP,RU000A0D88B3,"Публичное акционерное общество ""ТНС энерго Ярославль""",4507320,Третий уровень,Акция привилегированная,акции привилегированные
KRKOP,RU0009098131,"Публичное акционерное общество ""Таганрогский котлостроительный завод ""Красный котельщик""",71086000,Третий уровень,Акция привилегированная,акции привилегированные
TASB,RU000A0D8NG8,"Публичное акционерное общество ""Тамбовская энергосбытовая компания""",1525986880,Третий уровень,Акция обыкновенная,акции обыкновенные
TASBP,RU000A0D8NH6,"Публичное акционерное общество ""Тамбовская энергосбытовая компания""",217961420,Третий уровень,Акция привилегированная,акции привилегированные
TTLK,RU000A0HM5C1,"Публичное акционерное общество ""Таттелеком""",20843976400,Третий уровень,Акция обыкновенная,акции обыкновенные
TGKB,RU000A0JNGS7,"Публичное акционерное общество ""Территориальная генерирующая компания №2""",1458404850747,Третий уровень,Акция обыкновенная,акции обыкновенные
TGKBP,RU000A0JNGT5,"Публичное акционерное общество ""Территориальная генерирующая компания №2""",16500533681,Третий уровень,Акция привилегированная,акции привилегированные
TORS,RU000A0ETZF2,"Публичное акционерное общество ""Томская распределительная компания""",3819315580,Третий уровень,Акция обыкновенная,акции обыкновенные
TORSP,RU000A0ETZM8,"Публичное акционерное общество ""Томская распределительная компания""",576693000,Третий уровень,Акция привилегированная,акции привилегированные
TUZA,RU000A0HL7A2,"Публичное акционерное общество ""Туймазинский завод автобетоновозов""",8220000,Третий уровень,Акция обыкновенная,акции обыкновенные
UKUZ,RU0005294775,"Публичное акционерное общество ""Угольная компания ""Южный Кузбасс""",36149002,Третий уровень,Акция обыкновенная,акции обыкновенные
URKZ,RU000A0JPFY2,"Публичное акционерное общество ""Уральская кузница""",547761,Третий уровень,Акция обыкновенная,акции обыкновенные
LIFE,RU000A0JR514,"Публичное акционерное общество ""Фармсинтез""",440394854,Третий уровень,Акция обыкновенная,акции обыкновенные
HIMCP,RU0009099006,"Публичное акционерное общество ""Химпром""",229631402,Третий уровень,Акция привилегированная,акции привилегированные
